MidDistance,Correlation
15610,0.156520514
16175,0.066157176
16415,0.063802667
16445,0.088576503
16520,0.021576428
16585,0.000226174
17120,-0.008357236
17660,0.04479973
1365,0.102428849
2985,0.041415658
3480,0.085644713
4280,0.043415776
6045,0.003767557
7350,0.11453485
7905,0.224573145
8615,0.210940897
9100,0.276764425
9535,0.079528144
9965,0.061232048
10320,0.058611066
10580,0.070608642
10845,0.195178533
11220,0.199546191
11895,0.210635624
12580,0.099354183
13295,0.151553273
14090,0.237106777
14685,0.233022815
15375,0.148681363
15940,0.035683311
16180,-0.016469971
16210,0.050090268
16285,-0.008003948
16350,-0.027198249
16885,-0.03344749
17425,0.081590125
1620,0.028206241
2115,0.027093248
2915,-0.018592595
4680,-0.037919664
5985,0.013840685
6540,0.153274567
7250,0.031466619
7735,0.039878254
8170,0.026392452
8600,0.006607176
8955,0.006917509
9215,-0.011574473
9480,0.045809479
9855,0.033852448
10530,0.024781379
11215,0.029899668
11930,0.018469681
12725,0.028319154
13320,0.023440554
14010,0.022998684
14575,-0.013713435
14815,0.002345722
14845,0.022244478
14920,-0.044193584
14985,-0.025284916
15520,-0.015012672
16060,-0.001474748
495,0.127126821
1295,0.041959355
3060,-0.015420444
4365,0.070456666
4920,0.096402823
5630,0.110943922
6115,0.037874195
6550,0.02037579
6980,0.005665616
7335,0.023133802
7595,0.032700244
7860,0.035047665
8235,0.067107493
8910,0.110913952
9595,0.040568405
10310,0.060444593
11105,0.075724445
11700,0.073069483
12390,0.099470165
12955,0.063214186
13195,0.005654379
13225,0.023300594
13300,-0.018199199
13365,0.013997271
13900,-0.010596059
14440,0.045810853
800,0.192681974
2565,-0.003134114
3870,0.018269437
4425,0.064316818
5135,0.101633212
5620,0.097426762
6055,0.024069931
6485,0.026441696
6840,0.03562161
7100,0.021667089
7365,0.046595629
7740,0.072174526
8415,0.10416343
9100,0.068893217
9815,0.10269763
10610,0.104631754
11205,0.133795801
11895,0.074162701
12460,0.045404883
12700,-0.012222344
12730,0.032026193
12805,-0.001712969
12870,0.003983382
13405,0.006563146
13945,0.01139269
1765,0.249095624
3070,0.051416429
3625,0.039269025
4335,0.071061415
4820,0.090772158
5255,0.044189117
5685,0.002151745
6040,0.013997076
6300,0.04981768
6565,0.014129192
6940,0.068093524
7615,0.031863419
8300,-0.010342902
9015,0.037182242
9810,0.049031789
10405,0.059213672
11095,0.026495102
11660,0.027566057
11900,-0.002736612
11930,0.065681018
12005,0.04013564
12070,0.033901587
12605,0.040383687
13145,-0.016068315
1305,0.138614689
1860,0.002375701
2570,0.014506595
3055,0.059765197
3490,0.011802859
3920,0.001094494
4275,-0.012646245
4535,-0.015426984
4800,-0.016972928
5175,0.052186712
5850,0.007968572
6535,-0.029763258
7250,-0.009324472
8045,0.028584753
8640,0.007597738
9330,-0.025169205
9895,0.017878582
10135,0.036252697
10165,0.010174493
10240,-0.009040201
10305,-0.031224139
10840,-0.026687655
11380,0.013275496
555,0.29858413
1265,0.192966199
1750,0.147084476
2185,0.077656667
2615,0.031671301
2970,0.083453452
3230,0.073742106
3495,0.14056424
3870,0.169352383
4545,0.158623476
5230,0.104230876
5945,0.154740615
6740,0.219279416
7335,0.231756428
8025,0.179207325
8590,0.107399203
8830,0.066371336
8860,0.121481573
8935,0.078821167
9000,0.016266437
9535,0.000839465
10075,0.108054605
710,0.434223902
1195,0.189393674
1630,0.248360154
2060,0.16001978
2415,0.167819058
2675,0.106949969
2940,0.214189821
3315,0.155051944
3990,0.173961614
4675,0.101217007
5390,0.144681687
6185,0.192186653
6780,0.178916584
7470,0.135254902
8035,0.057633796
8275,0.026713382
8305,0.114752563
8380,0.04316825
8445,0.03185032
8980,0.000364644
9520,0.103862861
485,0.340929876
920,0.288926963
1350,0.220951766
1705,0.233365049
1965,0.131260037
2230,0.252260326
2605,0.194776052
3280,0.181367787
3965,0.11798571
4680,0.163027365
5475,0.240754933
6070,0.237573404
6760,0.166090115
7325,0.108332319
7565,0.023419697
7595,0.073522573
7670,0.042840573
7735,0.02984128
8270,-0.025782556
8810,0.10655882
435,0.263914686
865,0.096649857
1220,0.104930352
1480,0.053357111
1745,0.141826126
2120,0.165834355
2795,0.212194648
3480,0.134432737
4195,0.199734372
4990,0.28168357
5585,0.260669228
6275,0.198790877
6840,0.132503532
7080,0.078160468
7110,0.073879514
7185,0.056720083
7250,0.034731726
7785,-0.022045262
8325,0.124175416
430,0.432069019
785,0.359670548
1045,0.19712202
1310,0.186576984
1685,0.130488342
2360,0.121503937
3045,0.097867772
3760,0.128066161
4555,0.139332613
5150,0.095969853
5840,0.044177387
6405,0.053590848
6645,0.029300568
6675,0.092731489
6750,0.052460152
6815,0.042336781
7350,0.02497637
7890,0.064476165
355,0.601729848
615,0.308863416
880,0.365249574
1255,0.221334696
1930,0.057708822
2615,0.02199929
3330,0.004425349
4125,0.022534444
4720,0.022161608
5410,-0.015322368
5975,0.033127618
6215,0.026366863
6245,0.008838912
6320,0.008387362
6385,0.031606563
6920,-0.005186427
7460,0.026399809
260,0.46947617
525,0.423619556
900,0.242238185
1575,0.084873943
2260,0.005755622
2975,0.011563683
3770,0.036814413
4365,0.048679395
5055,0.003256302
5620,0.001111012
5860,0.034281746
5890,0.018650591
5965,0.01167908
6030,0.010544676
6565,-0.007260205
7105,0.019944327
265,0.345076257
640,0.219894871
1315,0.126569416
2000,0.032244618
2715,0.040449731
3510,0.08031003
4105,0.094824421
4795,0.06406576
5360,0.031977721
5600,0.009682896
5630,0.003780078
5705,-0.001406517
